id,dataset,model,model_id,lambda,loss,samples,polarity,semantic,combined
sst2-100000-Triplet(gte-base)(lambda=0.01),sst2,gte-base,Triplet(gte-base)(lambda=0.01),0.01,TripletLoss,100000,0.91,0.814,0.862
sst2-100000-Triplet(gte-base)(lambda=0.1),sst2,gte-base,Triplet(gte-base)(lambda=0.1),0.1,TripletLoss,100000,0.913,0.816,0.864
sst2-100000-Triplet(gte-base)(lambda=1),sst2,gte-base,Triplet(gte-base)(lambda=1),1.0,TripletLoss,100000,0.916,0.802,0.859
sst2-100000-Triplet(gte-base)(lambda=5),sst2,gte-base,Triplet(gte-base)(lambda=5),5.0,TripletLoss,100000,0.908,0.798,0.853
sst2-100000-Triplet(gte-base)(lambda=7.5),sst2,gte-base,Triplet(gte-base)(lambda=7.5),7.5,TripletLoss,100000,0.906,0.798,0.852
sst2-100000-Triplet(gte-base)(lambda=10),sst2,gte-base,Triplet(gte-base)(lambda=10),10.0,TripletLoss,100000,0.907,0.799,0.853
sst2-100000-Contrastive(gte-base)(lambda=0.1),sst2,gte-base,Contrastive(gte-base)(lambda=0.1),0.1,ContrastiveLoss,100000,0.911,0.805,0.858
sst2-100000-Contrastive(gte-base)(lambda=0.25),sst2,gte-base,Contrastive(gte-base)(lambda=0.25),0.25,ContrastiveLoss,100000,0.915,0.81,0.862
sst2-100000-Contrastive(gte-base)(lambda=0.5),sst2,gte-base,Contrastive(gte-base)(lambda=0.5),0.5,ContrastiveLoss,100000,0.913,0.813,0.863
sst2-100000-Contrastive(gte-base)(lambda=0.75),sst2,gte-base,Contrastive(gte-base)(lambda=0.75),0.75,ContrastiveLoss,100000,0.915,0.814,0.864
sst2-100000-Contrastive(gte-base)(lambda=1),sst2,gte-base,Contrastive(gte-base)(lambda=1),1.0,ContrastiveLoss,100000,0.916,0.812,0.864
sst2-100000-OnlineContrastive(gte-base)(lambda=0.1),sst2,gte-base,OnlineContrastive(gte-base)(lambda=0.1),0.1,OnlineContrastiveLoss,100000,0.91,0.809,0.86
sst2-100000-OnlineContrastive(gte-base)(lambda=0.25),sst2,gte-base,OnlineContrastive(gte-base)(lambda=0.25),0.25,OnlineContrastiveLoss,100000,0.914,0.815,0.864
sst2-100000-OnlineContrastive(gte-base)(lambda=0.5),sst2,gte-base,OnlineContrastive(gte-base)(lambda=0.5),0.5,OnlineContrastiveLoss,100000,0.915,0.818,0.866
sst2-100000-OnlineContrastive(gte-base)(lambda=0.75),sst2,gte-base,OnlineContrastive(gte-base)(lambda=0.75),0.75,OnlineContrastiveLoss,100000,0.916,0.816,0.866
sst2-100000-OnlineContrastive(gte-base)(lambda=1),sst2,gte-base,OnlineContrastive(gte-base)(lambda=1),1.0,OnlineContrastiveLoss,100000,0.917,0.815,0.866
sst2-100000-MultipleNegatives(gte-base),sst2,gte-base,MultipleNegatives(gte-base),,MultipleNegativesRankingLoss,100000,0.83,0.825,0.828
sst2-100000-Triplet(gte-small)(lambda=0.01),sst2,gte-small,Triplet(gte-small)(lambda=0.01),0.01,TripletLoss,100000,0.902,0.822,0.862
sst2-100000-Triplet(gte-small)(lambda=0.1),sst2,gte-small,Triplet(gte-small)(lambda=0.1),0.1,TripletLoss,100000,0.908,0.823,0.865
sst2-100000-Triplet(gte-small)(lambda=1),sst2,gte-small,Triplet(gte-small)(lambda=1),1.0,TripletLoss,100000,0.9,0.816,0.858
sst2-100000-Triplet(gte-small)(lambda=5),sst2,gte-small,Triplet(gte-small)(lambda=5),5.0,TripletLoss,100000,0.887,0.807,0.847
sst2-100000-Triplet(gte-small)(lambda=7.5),sst2,gte-small,Triplet(gte-small)(lambda=7.5),7.5,TripletLoss,100000,0.887,0.807,0.847
sst2-100000-Triplet(gte-small)(lambda=10),sst2,gte-small,Triplet(gte-small)(lambda=10),10.0,TripletLoss,100000,0.888,0.807,0.847
sst2-100000-Contrastive(gte-small)(lambda=0.1),sst2,gte-small,Contrastive(gte-small)(lambda=0.1),0.1,ContrastiveLoss,100000,0.895,0.819,0.857
sst2-100000-Contrastive(gte-small)(lambda=0.25),sst2,gte-small,Contrastive(gte-small)(lambda=0.25),0.25,ContrastiveLoss,100000,0.901,0.823,0.862
sst2-100000-Contrastive(gte-small)(lambda=0.5),sst2,gte-small,Contrastive(gte-small)(lambda=0.5),0.5,ContrastiveLoss,100000,0.902,0.825,0.864
sst2-100000-Contrastive(gte-small)(lambda=0.75),sst2,gte-small,Contrastive(gte-small)(lambda=0.75),0.75,ContrastiveLoss,100000,0.904,0.824,0.864
sst2-100000-Contrastive(gte-small)(lambda=1),sst2,gte-small,Contrastive(gte-small)(lambda=1),1.0,ContrastiveLoss,100000,0.903,0.823,0.863
sst2-100000-OnlineContrastive(gte-small)(lambda=0.1),sst2,gte-small,OnlineContrastive(gte-small)(lambda=0.1),0.1,OnlineContrastiveLoss,100000,0.897,0.821,0.859
sst2-100000-OnlineContrastive(gte-small)(lambda=0.25),sst2,gte-small,OnlineContrastive(gte-small)(lambda=0.25),0.25,OnlineContrastiveLoss,100000,0.9,0.825,0.863
sst2-100000-OnlineContrastive(gte-small)(lambda=0.5),sst2,gte-small,OnlineContrastive(gte-small)(lambda=0.5),0.5,OnlineContrastiveLoss,100000,0.901,0.826,0.864
sst2-100000-OnlineContrastive(gte-small)(lambda=0.75),sst2,gte-small,OnlineContrastive(gte-small)(lambda=0.75),0.75,OnlineContrastiveLoss,100000,0.905,0.825,0.865
sst2-100000-OnlineContrastive(gte-small)(lambda=1),sst2,gte-small,OnlineContrastive(gte-small)(lambda=1),1.0,OnlineContrastiveLoss,100000,0.905,0.824,0.864
sst2-100000-MultipleNegatives(gte-small),sst2,gte-small,MultipleNegatives(gte-small),,MultipleNegativesRankingLoss,100000,0.815,0.838,0.827
sst2-100000-Triplet(e5-small)(lambda=0.01),sst2,e5-small-v2,Triplet(e5-small)(lambda=0.01),0.01,TripletLoss,100000,0.926,0.833,0.88
sst2-100000-Triplet(e5-small)(lambda=0.1),sst2,e5-small-v2,Triplet(e5-small)(lambda=0.1),0.1,TripletLoss,100000,0.93,0.833,0.881
sst2-100000-Triplet(e5-small)(lambda=1),sst2,e5-small-v2,Triplet(e5-small)(lambda=1),1.0,TripletLoss,100000,0.922,0.822,0.872
sst2-100000-Triplet(e5-small)(lambda=5),sst2,e5-small-v2,Triplet(e5-small)(lambda=5),5.0,TripletLoss,100000,0.899,0.817,0.858
sst2-100000-Triplet(e5-small)(lambda=7.5),sst2,e5-small-v2,Triplet(e5-small)(lambda=7.5),7.5,TripletLoss,100000,0.904,0.818,0.861
sst2-100000-Triplet(e5-small)(lambda=10),sst2,e5-small-v2,Triplet(e5-small)(lambda=10),10.0,TripletLoss,100000,0.902,0.817,0.86
sst2-100000-Contrastive(e5-small)(lambda=0.1),sst2,e5-small-v2,Contrastive(e5-small)(lambda=0.1),0.1,ContrastiveLoss,100000,0.921,0.832,0.876
sst2-100000-Contrastive(e5-small)(lambda=0.25),sst2,e5-small-v2,Contrastive(e5-small)(lambda=0.25),0.25,ContrastiveLoss,100000,0.925,0.833,0.879
sst2-100000-Contrastive(e5-small)(lambda=0.5),sst2,e5-small-v2,Contrastive(e5-small)(lambda=0.5),0.5,ContrastiveLoss,100000,0.926,0.834,0.88
sst2-100000-Contrastive(e5-small)(lambda=0.75),sst2,e5-small-v2,Contrastive(e5-small)(lambda=0.75),0.75,ContrastiveLoss,100000,0.928,0.834,0.881
sst2-100000-Contrastive(e5-small)(lambda=1),sst2,e5-small-v2,Contrastive(e5-small)(lambda=1),1.0,ContrastiveLoss,100000,0.926,0.834,0.88
sst2-100000-OnlineContrastive(e5-small)(lambda=0.1),sst2,e5-small-v2,OnlineContrastive(e5-small)(lambda=0.1),0.1,OnlineContrastiveLoss,100000,0.926,0.834,0.88
sst2-100000-OnlineContrastive(e5-small)(lambda=0.25),sst2,e5-small-v2,OnlineContrastive(e5-small)(lambda=0.25),0.25,OnlineContrastiveLoss,100000,0.928,0.836,0.882
sst2-100000-OnlineContrastive(e5-small)(lambda=0.5),sst2,e5-small-v2,OnlineContrastive(e5-small)(lambda=0.5),0.5,OnlineContrastiveLoss,100000,0.934,0.836,0.885
sst2-100000-OnlineContrastive(e5-small)(lambda=0.75),sst2,e5-small-v2,OnlineContrastive(e5-small)(lambda=0.75),0.75,OnlineContrastiveLoss,100000,0.929,0.835,0.882
sst2-100000-OnlineContrastive(e5-small)(lambda=1),sst2,e5-small-v2,OnlineContrastive(e5-small)(lambda=1),1.0,OnlineContrastiveLoss,100000,0.928,0.834,0.881
sst2-100000-MultipleNegatives(e5-small),sst2,e5-small-v2,MultipleNegatives(e5-small),,MultipleNegativesRankingLoss,100000,0.819,0.846,0.833
sst2-100000-Triplet(minilm-6)(lambda=0.01),sst2,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=0.01),0.01,TripletLoss,100000,0.847,0.31,0.579
sst2-100000-Triplet(minilm-6)(lambda=0.1),sst2,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=0.1),0.1,TripletLoss,100000,0.859,0.329,0.594
sst2-100000-Triplet(minilm-6)(lambda=1),sst2,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=1),1.0,TripletLoss,100000,0.869,0.29,0.579
sst2-100000-Triplet(minilm-6)(lambda=5),sst2,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=5),5.0,TripletLoss,100000,0.841,0.292,0.566
sst2-100000-Triplet(minilm-6)(lambda=7.5),sst2,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=7.5),7.5,TripletLoss,100000,0.846,0.293,0.569
sst2-100000-Triplet(minilm-6)(lambda=10),sst2,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=10),10.0,TripletLoss,100000,0.845,0.295,0.57
sst2-100000-Contrastive(minilm-6)(lambda=0.1),sst2,all-MiniLM-L6-v2,Contrastive(minilm-6)(lambda=0.1),0.1,ContrastiveLoss,100000,0.818,0.292,0.555
sst2-100000-Contrastive(minilm-6)(lambda=0.25),sst2,all-MiniLM-L6-v2,Contrastive(minilm-6)(lambda=0.25),0.25,ContrastiveLoss,100000,0.833,0.293,0.563
sst2-100000-Contrastive(minilm-6)(lambda=0.5),sst2,all-MiniLM-L6-v2,Contrastive(minilm-6)(lambda=0.5),0.5,ContrastiveLoss,100000,0.844,0.296,0.57
sst2-100000-Contrastive(minilm-6)(lambda=0.75),sst2,all-MiniLM-L6-v2,Contrastive(minilm-6)(lambda=0.75),0.75,ContrastiveLoss,100000,0.854,0.304,0.579
sst2-100000-Contrastive(minilm-6)(lambda=1),sst2,all-MiniLM-L6-v2,Contrastive(minilm-6)(lambda=1),1.0,ContrastiveLoss,100000,0.857,0.309,0.583
sst2-100000-OnlineContrastive(minilm-6)(lambda=0.1),sst2,all-MiniLM-L6-v2,OnlineContrastive(minilm-6)(lambda=0.1),0.1,OnlineContrastiveLoss,100000,0.824,0.297,0.56
sst2-100000-OnlineContrastive(minilm-6)(lambda=0.25),sst2,all-MiniLM-L6-v2,OnlineContrastive(minilm-6)(lambda=0.25),0.25,OnlineContrastiveLoss,100000,0.841,0.303,0.572
sst2-100000-OnlineContrastive(minilm-6)(lambda=0.5),sst2,all-MiniLM-L6-v2,OnlineContrastive(minilm-6)(lambda=0.5),0.5,OnlineContrastiveLoss,100000,0.848,0.312,0.58
sst2-100000-OnlineContrastive(minilm-6)(lambda=0.75),sst2,all-MiniLM-L6-v2,OnlineContrastive(minilm-6)(lambda=0.75),0.75,OnlineContrastiveLoss,100000,0.853,0.317,0.585
sst2-100000-OnlineContrastive(minilm-6)(lambda=1),sst2,all-MiniLM-L6-v2,OnlineContrastive(minilm-6)(lambda=1),1.0,OnlineContrastiveLoss,100000,0.855,0.322,0.588
sst2-100000-MultipleNegatives(minilm-6),sst2,all-MiniLM-L6-v2,MultipleNegatives(minilm-6),,MultipleNegativesRankingLoss,100000,0.722,0.424,0.573
