,dataset,model,model_id,lambda,loss,samples,combined,polarity,semantic,history
0,sst2,all-MiniLM-L6-v2,MultipleNegatives(minilm-6),,MultipleNegativesRankingLoss,100000,0.573,0.722,0.424,"[{'combined': 0.573, 'polarity': 0.722, 'semantic': 0.424}]"
1,sst2,all-MiniLM-L6-v2,OnlineContrastive(minilm-6)(lambda=1),1.0,OnlineContrastiveLoss,100000,0.588,0.855,0.322,"[{'combined': 0.588, 'polarity': 0.855, 'semantic': 0.322}]"
2,sst2,all-MiniLM-L6-v2,OnlineContrastive(minilm-6)(lambda=0.75),0.75,OnlineContrastiveLoss,100000,0.585,0.853,0.317,"[{'combined': 0.585, 'polarity': 0.853, 'semantic': 0.317}]"
3,sst2,all-MiniLM-L6-v2,OnlineContrastive(minilm-6)(lambda=0.5),0.5,OnlineContrastiveLoss,100000,0.58,0.848,0.312,"[{'combined': 0.58, 'polarity': 0.848, 'semantic': 0.312}]"
4,sst2,all-MiniLM-L6-v2,OnlineContrastive(minilm-6)(lambda=0.25),0.25,OnlineContrastiveLoss,100000,0.572,0.841,0.303,"[{'polarity': 0.841, 'semantic': 0.303, 'combined': 0.572}]"
5,sst2,all-MiniLM-L6-v2,OnlineContrastive(minilm-6)(lambda=0.1),0.1,OnlineContrastiveLoss,100000,0.56,0.824,0.297,"[{'combined': 0.56, 'polarity': 0.824, 'semantic': 0.297}]"
6,sst2,all-MiniLM-L6-v2,Contrastive(minilm-6)(lambda=1),1.0,ContrastiveLoss,100000,0.583,0.857,0.309,"[{'combined': 0.583, 'polarity': 0.857, 'semantic': 0.309}]"
7,sst2,all-MiniLM-L6-v2,Contrastive(minilm-6)(lambda=0.75),0.75,ContrastiveLoss,100000,0.579,0.854,0.304,"[{'combined': 0.579, 'polarity': 0.854, 'semantic': 0.304}]"
8,sst2,all-MiniLM-L6-v2,Contrastive(minilm-6)(lambda=0.5),0.5,ContrastiveLoss,100000,0.57,0.844,0.296,"[{'combined': 0.57, 'polarity': 0.844, 'semantic': 0.296}]"
9,sst2,all-MiniLM-L6-v2,Contrastive(minilm-6)(lambda=0.25),0.25,ContrastiveLoss,100000,0.563,0.833,0.293,"[{'semantic': 0.293, 'combined': 0.563, 'polarity': 0.833}]"
10,sst2,all-MiniLM-L6-v2,Contrastive(minilm-6)(lambda=0.1),0.1,ContrastiveLoss,100000,0.555,0.818,0.292,"[{'combined': 0.555, 'polarity': 0.818, 'semantic': 0.292}]"
11,sst2,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=10),10.0,TripletLoss,100000,0.57,0.845,0.295,"[{'combined': 0.57, 'polarity': 0.845, 'semantic': 0.295}]"
12,sst2,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=7.5),7.5,TripletLoss,100000,0.569,0.846,0.293,"[{'semantic': 0.293, 'combined': 0.569, 'polarity': 0.846}]"
13,sst2,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=5),5.0,TripletLoss,100000,0.566,0.841,0.292,"[{'combined': 0.566, 'polarity': 0.841, 'semantic': 0.292}]"
14,sst2,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=1),1.0,TripletLoss,100000,0.579,0.869,0.29,"[{'combined': 0.579, 'polarity': 0.869, 'semantic': 0.29}]"
15,sst2,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=0.1),0.1,TripletLoss,100000,0.594,0.859,0.329,"[{'combined': 0.594, 'polarity': 0.859, 'semantic': 0.329}]"
16,sst2,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=0.01),0.01,TripletLoss,100000,0.579,0.847,0.31,"[{'combined': 0.579, 'polarity': 0.847, 'semantic': 0.31}]"
17,sst2,e5-small-v2,MultipleNegatives(e5-small),,MultipleNegativesRankingLoss,100000,0.833,0.819,0.846,"[{'combined': 0.833, 'polarity': 0.819, 'semantic': 0.846}]"
18,sst2,e5-small-v2,OnlineContrastive(e5-small)(lambda=1),1.0,OnlineContrastiveLoss,100000,0.881,0.928,0.834,"[{'combined': 0.881, 'polarity': 0.928, 'semantic': 0.834}]"
19,sst2,e5-small-v2,OnlineContrastive(e5-small)(lambda=0.75),0.75,OnlineContrastiveLoss,100000,0.882,0.929,0.835,"[{'combined': 0.882, 'polarity': 0.929, 'semantic': 0.835}]"
20,sst2,e5-small-v2,OnlineContrastive(e5-small)(lambda=0.5),0.5,OnlineContrastiveLoss,100000,0.885,0.934,0.836,"[{'combined': 0.885, 'polarity': 0.934, 'semantic': 0.836}]"
21,sst2,e5-small-v2,OnlineContrastive(e5-small)(lambda=0.25),0.25,OnlineContrastiveLoss,100000,0.882,0.928,0.836,"[{'polarity': 0.928, 'semantic': 0.836, 'combined': 0.882}]"
22,sst2,e5-small-v2,OnlineContrastive(e5-small)(lambda=0.1),0.1,OnlineContrastiveLoss,100000,0.88,0.926,0.834,"[{'combined': 0.88, 'polarity': 0.926, 'semantic': 0.834}]"
23,sst2,e5-small-v2,Contrastive(e5-small)(lambda=1),1.0,ContrastiveLoss,100000,0.88,0.926,0.834,"[{'combined': 0.88, 'polarity': 0.926, 'semantic': 0.834}]"
24,sst2,e5-small-v2,Contrastive(e5-small)(lambda=0.75),0.75,ContrastiveLoss,100000,0.881,0.928,0.834,"[{'combined': 0.881, 'polarity': 0.928, 'semantic': 0.834}]"
25,sst2,e5-small-v2,Contrastive(e5-small)(lambda=0.5),0.5,ContrastiveLoss,100000,0.88,0.926,0.834,"[{'combined': 0.88, 'polarity': 0.926, 'semantic': 0.834}]"
26,sst2,e5-small-v2,Contrastive(e5-small)(lambda=0.25),0.25,ContrastiveLoss,100000,0.879,0.925,0.833,"[{'combined': 0.879, 'polarity': 0.925, 'semantic': 0.833}]"
27,sst2,e5-small-v2,Contrastive(e5-small)(lambda=0.1),0.1,ContrastiveLoss,100000,0.876,0.921,0.832,"[{'combined': 0.876, 'polarity': 0.921, 'semantic': 0.832}]"
28,sst2,e5-small-v2,Triplet(e5-small)(lambda=10),10.0,TripletLoss,100000,0.86,0.902,0.817,"[{'combined': 0.86, 'polarity': 0.902, 'semantic': 0.817}]"
29,sst2,e5-small-v2,Triplet(e5-small)(lambda=7.5),7.5,TripletLoss,100000,0.861,0.904,0.818,"[{'combined': 0.861, 'polarity': 0.904, 'semantic': 0.818}]"
30,sst2,e5-small-v2,Triplet(e5-small)(lambda=5),5.0,TripletLoss,100000,0.858,0.899,0.817,"[{'combined': 0.858, 'polarity': 0.899, 'semantic': 0.817}]"
31,sst2,e5-small-v2,Triplet(e5-small)(lambda=1),1.0,TripletLoss,100000,0.872,0.922,0.822,"[{'combined': 0.872, 'polarity': 0.922, 'semantic': 0.822}]"
32,sst2,e5-small-v2,Triplet(e5-small)(lambda=0.1),0.1,TripletLoss,100000,0.881,0.93,0.833,"[{'combined': 0.881, 'polarity': 0.93, 'semantic': 0.833}]"
33,sst2,e5-small-v2,Triplet(e5-small)(lambda=0.01),0.01,TripletLoss,100000,0.88,0.926,0.833,"[{'combined': 0.88, 'polarity': 0.926, 'semantic': 0.833}]"
34,sst2,gte-small,MultipleNegatives(gte-small),,MultipleNegativesRankingLoss,100000,0.827,0.815,0.838,"[{'combined': 0.827, 'polarity': 0.815, 'semantic': 0.838}]"
35,sst2,gte-small,OnlineContrastive(gte-small)(lambda=1),1.0,OnlineContrastiveLoss,100000,0.864,0.905,0.824,"[{'polarity': 0.905, 'semantic': 0.824, 'combined': 0.864}]"
36,sst2,gte-small,OnlineContrastive(gte-small)(lambda=0.75),0.75,OnlineContrastiveLoss,100000,0.865,0.905,0.825,"[{'combined': 0.865, 'polarity': 0.905, 'semantic': 0.825}]"
37,sst2,gte-small,OnlineContrastive(gte-small)(lambda=0.5),0.5,OnlineContrastiveLoss,100000,0.864,0.901,0.826,"[{'polarity': 0.901, 'semantic': 0.826, 'combined': 0.864}]"
38,sst2,gte-small,OnlineContrastive(gte-small)(lambda=0.25),0.25,OnlineContrastiveLoss,100000,0.863,0.9,0.825,"[{'polarity': 0.9, 'semantic': 0.825, 'combined': 0.863}]"
39,sst2,gte-small,OnlineContrastive(gte-small)(lambda=0.1),0.1,OnlineContrastiveLoss,100000,0.859,0.897,0.821,"[{'combined': 0.859, 'polarity': 0.897, 'semantic': 0.821}]"
40,sst2,gte-small,Contrastive(gte-small)(lambda=1),1.0,ContrastiveLoss,100000,0.863,0.903,0.823,"[{'combined': 0.863, 'polarity': 0.903, 'semantic': 0.823}]"
41,sst2,gte-small,Contrastive(gte-small)(lambda=0.75),0.75,ContrastiveLoss,100000,0.864,0.904,0.824,"[{'combined': 0.864, 'polarity': 0.904, 'semantic': 0.824}]"
42,sst2,gte-small,Contrastive(gte-small)(lambda=0.5),0.5,ContrastiveLoss,100000,0.864,0.902,0.825,"[{'combined': 0.864, 'polarity': 0.902, 'semantic': 0.825}]"
43,sst2,gte-small,Contrastive(gte-small)(lambda=0.25),0.25,ContrastiveLoss,100000,0.862,0.901,0.823,"[{'semantic': 0.823, 'combined': 0.862, 'polarity': 0.901}]"
44,sst2,gte-small,Contrastive(gte-small)(lambda=0.1),0.1,ContrastiveLoss,100000,0.857,0.895,0.819,"[{'polarity': 0.895, 'semantic': 0.819, 'combined': 0.857}]"
45,sst2,gte-small,Triplet(gte-small)(lambda=10),10.0,TripletLoss,100000,0.847,0.888,0.807,"[{'polarity': 0.888, 'semantic': 0.807, 'combined': 0.847}]"
46,sst2,gte-small,Triplet(gte-small)(lambda=7.5),7.5,TripletLoss,100000,0.847,0.887,0.807,"[{'combined': 0.847, 'polarity': 0.887, 'semantic': 0.807}]"
47,sst2,gte-small,Triplet(gte-small)(lambda=5),5.0,TripletLoss,100000,0.847,0.887,0.807,"[{'combined': 0.847, 'polarity': 0.887, 'semantic': 0.807}]"
48,sst2,gte-small,Triplet(gte-small)(lambda=1),1.0,TripletLoss,100000,0.858,0.9,0.816,"[{'combined': 0.858, 'polarity': 0.9, 'semantic': 0.816}]"
49,sst2,gte-small,Triplet(gte-small)(lambda=0.1),0.1,TripletLoss,100000,0.865,0.908,0.823,"[{'combined': 0.865, 'polarity': 0.908, 'semantic': 0.823}]"
50,sst2,gte-small,Triplet(gte-small)(lambda=0.01),0.01,TripletLoss,100000,0.862,0.902,0.822,"[{'combined': 0.862, 'polarity': 0.902, 'semantic': 0.822}]"
51,sst2,gte-base,MultipleNegatives(gte-base),,MultipleNegativesRankingLoss,100000,0.828,0.83,0.825,"[{'semantic': 0.825, 'combined': 0.828, 'polarity': 0.83}]"
52,sst2,gte-base,OnlineContrastive(gte-base)(lambda=1),1.0,OnlineContrastiveLoss,100000,0.866,0.917,0.815,"[{'combined': 0.866, 'polarity': 0.917, 'semantic': 0.815}]"
53,sst2,gte-base,OnlineContrastive(gte-base)(lambda=0.75),0.75,OnlineContrastiveLoss,100000,0.866,0.916,0.816,"[{'combined': 0.866, 'polarity': 0.916, 'semantic': 0.816}]"
54,sst2,gte-base,OnlineContrastive(gte-base)(lambda=0.5),0.5,OnlineContrastiveLoss,100000,0.866,0.915,0.818,"[{'polarity': 0.915, 'semantic': 0.818, 'combined': 0.866}]"
55,sst2,gte-base,OnlineContrastive(gte-base)(lambda=0.25),0.25,OnlineContrastiveLoss,100000,0.864,0.914,0.815,"[{'polarity': 0.914, 'semantic': 0.815, 'combined': 0.864}]"
56,sst2,gte-base,OnlineContrastive(gte-base)(lambda=0.1),0.1,OnlineContrastiveLoss,100000,0.86,0.91,0.809,"[{'polarity': 0.91, 'semantic': 0.809, 'combined': 0.86}]"
57,sst2,gte-base,Contrastive(gte-base)(lambda=1),1.0,ContrastiveLoss,100000,0.864,0.916,0.812,"[{'polarity': 0.916, 'semantic': 0.812, 'combined': 0.864}]"
58,sst2,gte-base,Contrastive(gte-base)(lambda=0.75),0.75,ContrastiveLoss,100000,0.864,0.915,0.814,"[{'polarity': 0.915, 'semantic': 0.814, 'combined': 0.864}]"
59,sst2,gte-base,Contrastive(gte-base)(lambda=0.5),0.5,ContrastiveLoss,100000,0.863,0.913,0.813,"[{'combined': 0.863, 'polarity': 0.913, 'semantic': 0.813}]"
60,sst2,gte-base,Contrastive(gte-base)(lambda=0.25),0.25,ContrastiveLoss,100000,0.862,0.915,0.81,"[{'polarity': 0.915, 'semantic': 0.81, 'combined': 0.862}]"
61,sst2,gte-base,Contrastive(gte-base)(lambda=0.1),0.1,ContrastiveLoss,100000,0.858,0.911,0.805,"[{'combined': 0.858, 'polarity': 0.911, 'semantic': 0.805}]"
62,sst2,gte-base,Triplet(gte-base)(lambda=10),10.0,TripletLoss,100000,0.853,0.907,0.799,"[{'combined': 0.853, 'polarity': 0.907, 'semantic': 0.799}]"
63,sst2,gte-base,Triplet(gte-base)(lambda=7.5),7.5,TripletLoss,100000,0.852,0.906,0.798,"[{'polarity': 0.906, 'semantic': 0.798, 'combined': 0.852}]"
64,sst2,gte-base,Triplet(gte-base)(lambda=5),5.0,TripletLoss,100000,0.853,0.908,0.798,"[{'combined': 0.853, 'polarity': 0.908, 'semantic': 0.798}]"
65,sst2,gte-base,Triplet(gte-base)(lambda=1),1.0,TripletLoss,100000,0.859,0.916,0.802,"[{'combined': 0.859, 'polarity': 0.916, 'semantic': 0.802}]"
66,sst2,gte-base,Triplet(gte-base)(lambda=0.1),0.1,TripletLoss,100000,0.864,0.913,0.816,"[{'combined': 0.864, 'polarity': 0.913, 'semantic': 0.816}]"
67,sst2,gte-base,Triplet(gte-base)(lambda=0.01),0.01,TripletLoss,100000,0.862,0.91,0.814,"[{'combined': 0.862, 'polarity': 0.91, 'semantic': 0.814}]"
68,sst2,all-MiniLM-L6-v2,MultipleNegatives(minilm-6),,MultipleNegativesRankingLoss,50000,0.566,0.699,0.434,"[{'combined': 0.566, 'polarity': 0.699, 'semantic': 0.434}]"
69,sst2,all-MiniLM-L6-v2,OnlineContrastive(minilm-6)(lambda=1),1.0,OnlineContrastiveLoss,50000,0.57,0.787,0.353,"[{'combined': 0.57, 'polarity': 0.787, 'semantic': 0.353}]"
70,sst2,all-MiniLM-L6-v2,OnlineContrastive(minilm-6)(lambda=0.75),0.75,OnlineContrastiveLoss,50000,0.562,0.774,0.349,"[{'combined': 0.562, 'polarity': 0.774, 'semantic': 0.349}]"
71,sst2,all-MiniLM-L6-v2,OnlineContrastive(minilm-6)(lambda=0.5),0.5,OnlineContrastiveLoss,50000,0.551,0.762,0.341,"[{'combined': 0.551, 'polarity': 0.762, 'semantic': 0.341}]"
72,sst2,all-MiniLM-L6-v2,OnlineContrastive(minilm-6)(lambda=0.25),0.25,OnlineContrastiveLoss,50000,0.537,0.741,0.333,"[{'semantic': 0.333, 'combined': 0.537, 'polarity': 0.741}]"
73,sst2,all-MiniLM-L6-v2,OnlineContrastive(minilm-6)(lambda=0.1),0.1,OnlineContrastiveLoss,50000,0.516,0.703,0.33,"[{'semantic': 0.33, 'combined': 0.516, 'polarity': 0.703}]"
74,sst2,all-MiniLM-L6-v2,Contrastive(minilm-6)(lambda=1),1.0,ContrastiveLoss,50000,0.562,0.781,0.343,"[{'combined': 0.562, 'polarity': 0.781, 'semantic': 0.343}]"
75,sst2,all-MiniLM-L6-v2,Contrastive(minilm-6)(lambda=0.75),0.75,ContrastiveLoss,50000,0.555,0.767,0.344,"[{'combined': 0.555, 'polarity': 0.767, 'semantic': 0.344}]"
76,sst2,all-MiniLM-L6-v2,Contrastive(minilm-6)(lambda=0.5),0.5,ContrastiveLoss,50000,0.545,0.745,0.345,"[{'combined': 0.545, 'polarity': 0.745, 'semantic': 0.345}]"
77,sst2,all-MiniLM-L6-v2,Contrastive(minilm-6)(lambda=0.25),0.25,ContrastiveLoss,50000,0.533,0.718,0.348,"[{'polarity': 0.718, 'semantic': 0.348, 'combined': 0.533}]"
78,sst2,all-MiniLM-L6-v2,Contrastive(minilm-6)(lambda=0.1),0.1,ContrastiveLoss,50000,0.514,0.68,0.347,"[{'combined': 0.514, 'polarity': 0.68, 'semantic': 0.347}]"
79,sst2,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=10),10.0,TripletLoss,50000,0.554,0.813,0.296,"[{'combined': 0.554, 'polarity': 0.813, 'semantic': 0.296}]"
80,sst2,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=7.5),7.5,TripletLoss,50000,0.554,0.813,0.296,"[{'combined': 0.554, 'polarity': 0.813, 'semantic': 0.296}]"
81,sst2,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=5),5.0,TripletLoss,50000,0.553,0.81,0.296,"[{'combined': 0.553, 'polarity': 0.81, 'semantic': 0.296}]"
82,sst2,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=1),1.0,TripletLoss,50000,0.568,0.832,0.304,"[{'combined': 0.568, 'polarity': 0.832, 'semantic': 0.304}]"
83,sst2,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=0.1),0.1,TripletLoss,50000,0.58,0.808,0.352,"[{'polarity': 0.808, 'semantic': 0.352, 'combined': 0.58}]"
84,sst2,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=0.01),0.01,TripletLoss,50000,0.555,0.773,0.337,"[{'combined': 0.555, 'polarity': 0.773, 'semantic': 0.337}]"
85,sst2,e5-small-v2,MultipleNegatives(e5-small),,MultipleNegativesRankingLoss,50000,0.827,0.806,0.847,"[{'combined': 0.827, 'polarity': 0.806, 'semantic': 0.847}]"
86,sst2,e5-small-v2,OnlineContrastive(e5-small)(lambda=1),1.0,OnlineContrastiveLoss,50000,0.877,0.913,0.84,"[{'combined': 0.877, 'polarity': 0.913, 'semantic': 0.84}]"
87,sst2,e5-small-v2,OnlineContrastive(e5-small)(lambda=0.75),0.75,OnlineContrastiveLoss,50000,0.879,0.918,0.84,"[{'combined': 0.879, 'polarity': 0.918, 'semantic': 0.84}]"
88,sst2,e5-small-v2,OnlineContrastive(e5-small)(lambda=0.5),0.5,OnlineContrastiveLoss,50000,0.877,0.913,0.841,"[{'polarity': 0.913, 'semantic': 0.841, 'combined': 0.877}]"
89,sst2,e5-small-v2,OnlineContrastive(e5-small)(lambda=0.25),0.25,OnlineContrastiveLoss,50000,0.876,0.91,0.841,"[{'combined': 0.876, 'polarity': 0.91, 'semantic': 0.841}]"
90,sst2,e5-small-v2,OnlineContrastive(e5-small)(lambda=0.1),0.1,OnlineContrastiveLoss,50000,0.872,0.906,0.839,"[{'combined': 0.872, 'polarity': 0.906, 'semantic': 0.839}]"
91,sst2,e5-small-v2,Contrastive(e5-small)(lambda=1),1.0,ContrastiveLoss,50000,0.875,0.913,0.837,"[{'combined': 0.875, 'polarity': 0.913, 'semantic': 0.837}]"
92,sst2,e5-small-v2,Contrastive(e5-small)(lambda=0.75),0.75,ContrastiveLoss,50000,0.874,0.911,0.838,"[{'combined': 0.874, 'polarity': 0.911, 'semantic': 0.838}]"
93,sst2,e5-small-v2,Contrastive(e5-small)(lambda=0.5),0.5,ContrastiveLoss,50000,0.875,0.912,0.838,"[{'combined': 0.875, 'polarity': 0.912, 'semantic': 0.838}]"
94,sst2,e5-small-v2,Contrastive(e5-small)(lambda=0.25),0.25,ContrastiveLoss,50000,0.872,0.907,0.837,"[{'semantic': 0.837, 'combined': 0.872, 'polarity': 0.907}]"
95,sst2,e5-small-v2,Contrastive(e5-small)(lambda=0.1),0.1,ContrastiveLoss,50000,0.865,0.896,0.833,"[{'semantic': 0.833, 'combined': 0.865, 'polarity': 0.896}]"
96,sst2,e5-small-v2,Triplet(e5-small)(lambda=10),10.0,TripletLoss,50000,0.855,0.891,0.818,"[{'combined': 0.855, 'polarity': 0.891, 'semantic': 0.818}]"
97,sst2,e5-small-v2,Triplet(e5-small)(lambda=7.5),7.5,TripletLoss,50000,0.854,0.89,0.819,"[{'combined': 0.854, 'polarity': 0.89, 'semantic': 0.819}]"
98,sst2,e5-small-v2,Triplet(e5-small)(lambda=5),5.0,TripletLoss,50000,0.855,0.893,0.818,"[{'polarity': 0.893, 'semantic': 0.818, 'combined': 0.855}]"
99,sst2,e5-small-v2,Triplet(e5-small)(lambda=1),1.0,TripletLoss,50000,0.868,0.908,0.827,"[{'combined': 0.868, 'polarity': 0.908, 'semantic': 0.827}]"
100,sst2,e5-small-v2,Triplet(e5-small)(lambda=0.1),0.1,TripletLoss,50000,0.882,0.925,0.838,"[{'combined': 0.882, 'polarity': 0.925, 'semantic': 0.838}]"
101,sst2,e5-small-v2,Triplet(e5-small)(lambda=0.01),0.01,TripletLoss,50000,0.879,0.92,0.839,"[{'combined': 0.879, 'polarity': 0.92, 'semantic': 0.839}]"
102,sst2,gte-small,MultipleNegatives(gte-small),,MultipleNegativesRankingLoss,50000,0.821,0.803,0.839,"[{'combined': 0.821, 'polarity': 0.803, 'semantic': 0.839}]"
103,sst2,gte-small,OnlineContrastive(gte-small)(lambda=1),1.0,OnlineContrastiveLoss,50000,0.861,0.894,0.827,"[{'combined': 0.861, 'polarity': 0.894, 'semantic': 0.827}]"
104,sst2,gte-small,OnlineContrastive(gte-small)(lambda=0.75),0.75,OnlineContrastiveLoss,50000,0.861,0.892,0.829,"[{'combined': 0.861, 'polarity': 0.892, 'semantic': 0.829}]"
105,sst2,gte-small,OnlineContrastive(gte-small)(lambda=0.5),0.5,OnlineContrastiveLoss,50000,0.86,0.889,0.831,"[{'combined': 0.86, 'polarity': 0.889, 'semantic': 0.831}]"
106,sst2,gte-small,OnlineContrastive(gte-small)(lambda=0.25),0.25,OnlineContrastiveLoss,50000,0.859,0.888,0.829,"[{'combined': 0.859, 'polarity': 0.888, 'semantic': 0.829}]"
