dataset,model,model_id,lambda,loss,samples,combined,polarity,semantic
sst2,all-MiniLM-L6-v2,MultipleNegatives(minilm-6),,multiple_negative,50000,0.583,0.74,0.426
sst2,all-MiniLM-L6-v2,OnlineContrastive(minilm-6)(lambda=1),1.0,contrastive,50000,0.576,0.827,0.325
sst2,all-MiniLM-L6-v2,OnlineContrastive(minilm-6)(lambda=0.75),0.75,contrastive,50000,0.57,0.818,0.322
sst2,all-MiniLM-L6-v2,OnlineContrastive(minilm-6)(lambda=0.5),0.5,contrastive,50000,0.56,0.803,0.317
sst2,all-MiniLM-L6-v2,OnlineContrastive(minilm-6)(lambda=0.25),0.25,contrastive,50000,0.55,0.785,0.314
sst2,all-MiniLM-L6-v2,OnlineContrastive(minilm-6)(lambda=0.1),0.1,contrastive,50000,0.534,0.76,0.308
sst2,all-MiniLM-L6-v2,Contrastive(minilm-6)(lambda=1),1.0,contrastive,50000,0.568,0.825,0.312
sst2,all-MiniLM-L6-v2,Contrastive(minilm-6)(lambda=0.75),0.75,contrastive,50000,0.563,0.816,0.31
sst2,all-MiniLM-L6-v2,Contrastive(minilm-6)(lambda=0.5),0.5,contrastive,50000,0.555,0.8,0.309
sst2,all-MiniLM-L6-v2,Contrastive(minilm-6)(lambda=0.25),0.25,contrastive,50000,0.54,0.766,0.314
sst2,all-MiniLM-L6-v2,Contrastive(minilm-6)(lambda=0.1),0.1,contrastive,50000,0.527,0.738,0.316
sst2,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=10),10.0,triplet,50000,0.568,0.833,0.304
sst2,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=7.5),7.5,triplet,50000,0.569,0.833,0.304
sst2,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=5),5.0,triplet,50000,0.569,0.833,0.304
sst2,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=1),1.0,triplet,50000,0.585,0.854,0.316
sst2,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=0.1),0.1,triplet,50000,0.586,0.844,0.328
sst2,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=0.01),0.01,triplet,50000,0.567,0.823,0.31
sst2,e5-small-v2,MultipleNegatives(e5-small),,multiple_negative,50000,0.842,0.833,0.851
sst2,e5-small-v2,OnlineContrastive(e5-small)(lambda=1),1.0,contrastive,50000,0.882,0.926,0.837
sst2,e5-small-v2,OnlineContrastive(e5-small)(lambda=0.75),0.75,contrastive,50000,0.882,0.927,0.837
sst2,e5-small-v2,OnlineContrastive(e5-small)(lambda=0.5),0.5,contrastive,50000,0.882,0.926,0.838
sst2,e5-small-v2,OnlineContrastive(e5-small)(lambda=0.25),0.25,contrastive,50000,0.883,0.927,0.838
sst2,e5-small-v2,OnlineContrastive(e5-small)(lambda=0.1),0.1,contrastive,50000,0.88,0.925,0.836
sst2,e5-small-v2,Contrastive(e5-small)(lambda=1),1.0,contrastive,50000,0.879,0.924,0.835
sst2,e5-small-v2,Contrastive(e5-small)(lambda=0.75),0.75,contrastive,50000,0.88,0.925,0.835
sst2,e5-small-v2,Contrastive(e5-small)(lambda=0.5),0.5,contrastive,50000,0.88,0.924,0.835
sst2,e5-small-v2,Contrastive(e5-small)(lambda=0.25),0.25,contrastive,50000,0.879,0.921,0.836
sst2,e5-small-v2,Contrastive(e5-small)(lambda=0.1),0.1,contrastive,50000,0.876,0.919,0.832
sst2,e5-small-v2,Triplet(e5-small)(lambda=10),10.0,triplet,50000,0.863,0.908,0.819
sst2,e5-small-v2,Triplet(e5-small)(lambda=7.5),7.5,triplet,50000,0.863,0.908,0.819
sst2,e5-small-v2,Triplet(e5-small)(lambda=5),5.0,triplet,50000,0.862,0.907,0.818
sst2,e5-small-v2,Triplet(e5-small)(lambda=1),1.0,triplet,50000,0.875,0.921,0.828
sst2,e5-small-v2,Triplet(e5-small)(lambda=0.1),0.1,triplet,50000,0.883,0.93,0.837
sst2,e5-small-v2,Triplet(e5-small)(lambda=0.01),0.01,triplet,50000,0.886,0.934,0.838
sst2,gte-small,MultipleNegatives(gte-small),,multiple_negative,50000,0.837,0.837,0.838
sst2,gte-small,OnlineContrastive(gte-small)(lambda=1),1.0,contrastive,50000,0.863,0.902,0.825
sst2,gte-small,OnlineContrastive(gte-small)(lambda=0.75),0.75,contrastive,50000,0.864,0.902,0.827
sst2,gte-small,OnlineContrastive(gte-small)(lambda=0.5),0.5,contrastive,50000,0.865,0.902,0.828
sst2,gte-small,OnlineContrastive(gte-small)(lambda=0.25),0.25,contrastive,50000,0.863,0.901,0.825
sst2,gte-small,OnlineContrastive(gte-small)(lambda=0.1),0.1,contrastive,50000,0.86,0.897,0.823
sst2,gte-small,Contrastive(gte-small)(lambda=1),1.0,contrastive,50000,0.864,0.904,0.824
sst2,gte-small,Contrastive(gte-small)(lambda=0.75),0.75,contrastive,50000,0.864,0.902,0.825
sst2,gte-small,Contrastive(gte-small)(lambda=0.5),0.5,contrastive,50000,0.863,0.9,0.825
sst2,gte-small,Contrastive(gte-small)(lambda=0.25),0.25,contrastive,50000,0.861,0.9,0.823
sst2,gte-small,Contrastive(gte-small)(lambda=0.1),0.1,contrastive,50000,0.855,0.893,0.818
sst2,gte-small,Triplet(gte-small)(lambda=10),10.0,triplet,50000,0.849,0.891,0.808
sst2,gte-small,Triplet(gte-small)(lambda=7.5),7.5,triplet,50000,0.848,0.889,0.808
sst2,gte-small,Triplet(gte-small)(lambda=5),5.0,triplet,50000,0.849,0.89,0.809
sst2,gte-small,Triplet(gte-small)(lambda=1),1.0,triplet,50000,0.854,0.893,0.815
sst2,gte-small,Triplet(gte-small)(lambda=0.1),0.1,triplet,50000,0.864,0.905,0.824
sst2,gte-small,Triplet(gte-small)(lambda=0.01),0.01,triplet,50000,0.862,0.901,0.824
sst2,gte-base,MultipleNegatives(gte-base),,multiple_negative,50000,0.842,0.859,0.825
sst2,gte-base,OnlineContrastive(gte-base)(lambda=1),1.0,contrastive,50000,0.863,0.91,0.816
sst2,gte-base,OnlineContrastive(gte-base)(lambda=0.75),0.75,contrastive,50000,0.864,0.91,0.818
sst2,gte-base,OnlineContrastive(gte-base)(lambda=0.5),0.5,contrastive,50000,0.865,0.913,0.818
sst2,gte-base,OnlineContrastive(gte-base)(lambda=0.25),0.25,contrastive,50000,0.863,0.912,0.814
sst2,gte-base,OnlineContrastive(gte-base)(lambda=0.1),0.1,contrastive,50000,0.859,0.908,0.81
sst2,gte-base,Contrastive(gte-base)(lambda=1),1.0,contrastive,50000,0.863,0.913,0.813
sst2,gte-base,Contrastive(gte-base)(lambda=0.75),0.75,contrastive,50000,0.863,0.913,0.813
sst2,gte-base,Contrastive(gte-base)(lambda=0.5),0.5,contrastive,50000,0.862,0.91,0.813
sst2,gte-base,Contrastive(gte-base)(lambda=0.25),0.25,contrastive,50000,0.86,0.909,0.81
sst2,gte-base,Contrastive(gte-base)(lambda=0.1),0.1,contrastive,50000,0.857,0.909,0.805
sst2,gte-base,Triplet(gte-base)(lambda=10),10.0,triplet,50000,0.855,0.909,0.8
sst2,gte-base,Triplet(gte-base)(lambda=7.5),7.5,triplet,50000,0.853,0.905,0.801
sst2,gte-base,Triplet(gte-base)(lambda=5),5.0,triplet,50000,0.855,0.91,0.801
sst2,gte-base,Triplet(gte-base)(lambda=1),1.0,triplet,50000,0.855,0.908,0.802
sst2,gte-base,Triplet(gte-base)(lambda=0.1),0.1,triplet,50000,0.865,0.913,0.817
sst2,gte-base,Triplet(gte-base)(lambda=0.01),0.01,triplet,50000,0.862,0.912,0.812
sarcastic-headlines,all-MiniLM-L6-v2,MultipleNegatives(minilm-6),,multiple_negative,50000,0.567,0.75,0.385
sarcastic-headlines,all-MiniLM-L6-v2,OnlineContrastive(minilm-6)(lambda=1),1.0,contrastive,50000,0.547,0.864,0.23
sarcastic-headlines,all-MiniLM-L6-v2,OnlineContrastive(minilm-6)(lambda=0.75),0.75,contrastive,50000,0.543,0.861,0.226
sarcastic-headlines,all-MiniLM-L6-v2,OnlineContrastive(minilm-6)(lambda=0.5),0.5,contrastive,50000,0.538,0.853,0.224
sarcastic-headlines,all-MiniLM-L6-v2,OnlineContrastive(minilm-6)(lambda=0.25),0.25,contrastive,50000,0.536,0.847,0.225
sarcastic-headlines,all-MiniLM-L6-v2,OnlineContrastive(minilm-6)(lambda=0.1),0.1,contrastive,50000,0.533,0.842,0.223
sarcastic-headlines,all-MiniLM-L6-v2,Contrastive(minilm-6)(lambda=1),1.0,contrastive,50000,0.547,0.863,0.231
sarcastic-headlines,all-MiniLM-L6-v2,Contrastive(minilm-6)(lambda=0.75),0.75,contrastive,50000,0.536,0.855,0.218
sarcastic-headlines,all-MiniLM-L6-v2,Contrastive(minilm-6)(lambda=0.5),0.5,contrastive,50000,0.529,0.849,0.21
sarcastic-headlines,all-MiniLM-L6-v2,Contrastive(minilm-6)(lambda=0.25),0.25,contrastive,50000,0.53,0.843,0.217
sarcastic-headlines,all-MiniLM-L6-v2,Contrastive(minilm-6)(lambda=0.1),0.1,contrastive,50000,0.526,0.836,0.215
sarcastic-headlines,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=10),10.0,triplet,50000,0.529,0.852,0.205
sarcastic-headlines,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=7.5),7.5,triplet,50000,0.527,0.853,0.201
sarcastic-headlines,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=5),5.0,triplet,50000,0.527,0.853,0.202
sarcastic-headlines,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=1),1.0,triplet,50000,0.556,0.876,0.237
sarcastic-headlines,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=0.1),0.1,triplet,50000,0.573,0.878,0.269
sarcastic-headlines,all-MiniLM-L6-v2,Triplet(minilm-6)(lambda=0.01),0.01,triplet,50000,0.528,0.848,0.208
sarcastic-headlines,e5-small-v2,MultipleNegatives(e5-small),,multiple_negative,50000,0.808,0.786,0.829
sarcastic-headlines,e5-small-v2,OnlineContrastive(e5-small)(lambda=1),1.0,contrastive,50000,0.86,0.914,0.806
sarcastic-headlines,e5-small-v2,OnlineContrastive(e5-small)(lambda=0.75),0.75,contrastive,50000,0.861,0.917,0.805
sarcastic-headlines,e5-small-v2,OnlineContrastive(e5-small)(lambda=0.5),0.5,contrastive,50000,0.861,0.917,0.805
sarcastic-headlines,e5-small-v2,OnlineContrastive(e5-small)(lambda=0.25),0.25,contrastive,50000,0.86,0.917,0.803
sarcastic-headlines,e5-small-v2,OnlineContrastive(e5-small)(lambda=0.1),0.1,contrastive,50000,0.857,0.915,0.799
sarcastic-headlines,e5-small-v2,Contrastive(e5-small)(lambda=1),1.0,contrastive,50000,0.855,0.915,0.795
sarcastic-headlines,e5-small-v2,Contrastive(e5-small)(lambda=0.75),0.75,contrastive,50000,0.856,0.915,0.797
sarcastic-headlines,e5-small-v2,Contrastive(e5-small)(lambda=0.5),0.5,contrastive,50000,0.856,0.916,0.795
sarcastic-headlines,e5-small-v2,Contrastive(e5-small)(lambda=0.25),0.25,contrastive,50000,0.854,0.914,0.794
sarcastic-headlines,e5-small-v2,Contrastive(e5-small)(lambda=0.1),0.1,contrastive,50000,0.85,0.91,0.791
sarcastic-headlines,e5-small-v2,Triplet(e5-small)(lambda=10),10.0,triplet,50000,0.84,0.895,0.784
sarcastic-headlines,e5-small-v2,Triplet(e5-small)(lambda=7.5),7.5,triplet,50000,0.838,0.892,0.784
sarcastic-headlines,e5-small-v2,Triplet(e5-small)(lambda=5),5.0,triplet,50000,0.839,0.893,0.785
sarcastic-headlines,e5-small-v2,Triplet(e5-small)(lambda=1),1.0,triplet,50000,0.855,0.916,0.795
sarcastic-headlines,e5-small-v2,Triplet(e5-small)(lambda=0.1),0.1,triplet,50000,0.866,0.92,0.812
sarcastic-headlines,e5-small-v2,Triplet(e5-small)(lambda=0.01),0.01,triplet,50000,0.866,0.918,0.815
sarcastic-headlines,gte-small,MultipleNegatives(gte-small),,multiple_negative,50000,0.793,0.772,0.815
sarcastic-headlines,gte-small,OnlineContrastive(gte-small)(lambda=1),1.0,contrastive,50000,0.843,0.898,0.788
sarcastic-headlines,gte-small,OnlineContrastive(gte-small)(lambda=0.75),0.75,contrastive,50000,0.844,0.897,0.791
sarcastic-headlines,gte-small,OnlineContrastive(gte-small)(lambda=0.5),0.5,contrastive,50000,0.842,0.893,0.791
sarcastic-headlines,gte-small,OnlineContrastive(gte-small)(lambda=0.25),0.25,contrastive,50000,0.841,0.896,0.787
sarcastic-headlines,gte-small,OnlineContrastive(gte-small)(lambda=0.1),0.1,contrastive,50000,0.833,0.886,0.78
sarcastic-headlines,gte-small,Contrastive(gte-small)(lambda=1),1.0,contrastive,50000,0.839,0.897,0.782
sarcastic-headlines,gte-small,Contrastive(gte-small)(lambda=0.75),0.75,contrastive,50000,0.84,0.896,0.784
sarcastic-headlines,gte-small,Contrastive(gte-small)(lambda=0.5),0.5,contrastive,50000,0.841,0.897,0.785
sarcastic-headlines,gte-small,Contrastive(gte-small)(lambda=0.25),0.25,contrastive,50000,0.836,0.892,0.779
sarcastic-headlines,gte-small,Contrastive(gte-small)(lambda=0.1),0.1,contrastive,50000,0.825,0.878,0.772
sarcastic-headlines,gte-small,Triplet(gte-small)(lambda=10),10.0,triplet,50000,0.816,0.873,0.758
sarcastic-headlines,gte-small,Triplet(gte-small)(lambda=7.5),7.5,triplet,50000,0.816,0.873,0.759
sarcastic-headlines,gte-small,Triplet(gte-small)(lambda=5),5.0,triplet,50000,0.815,0.872,0.759
sarcastic-headlines,gte-small,Triplet(gte-small)(lambda=1),1.0,triplet,50000,0.833,0.893,0.773
sarcastic-headlines,gte-small,Triplet(gte-small)(lambda=0.1),0.1,triplet,50000,0.847,0.901,0.794
sarcastic-headlines,gte-small,Triplet(gte-small)(lambda=0.01),0.01,triplet,50000,0.841,0.896,0.786
sarcastic-headlines,gte-base,MultipleNegatives(gte-base),,multiple_negative,50000,0.796,0.79,0.801
sarcastic-headlines,gte-base,OnlineContrastive(gte-base)(lambda=1),1.0,contrastive,50000,0.838,0.909,0.768
sarcastic-headlines,gte-base,OnlineContrastive(gte-base)(lambda=0.75),0.75,contrastive,50000,0.836,0.906,0.766
sarcastic-headlines,gte-base,OnlineContrastive(gte-base)(lambda=0.5),0.5,contrastive,50000,0.838,0.905,0.771
sarcastic-headlines,gte-base,OnlineContrastive(gte-base)(lambda=0.25),0.25,contrastive,50000,0.833,0.905,0.761
sarcastic-headlines,gte-base,OnlineContrastive(gte-base)(lambda=0.1),0.1,contrastive,50000,0.828,0.904,0.752
sarcastic-headlines,gte-base,Contrastive(gte-base)(lambda=1),1.0,contrastive,50000,0.833,0.906,0.761
sarcastic-headlines,gte-base,Contrastive(gte-base)(lambda=0.75),0.75,contrastive,50000,0.831,0.904,0.758
sarcastic-headlines,gte-base,Contrastive(gte-base)(lambda=0.5),0.5,contrastive,50000,0.831,0.905,0.757
sarcastic-headlines,gte-base,Contrastive(gte-base)(lambda=0.25),0.25,contrastive,50000,0.829,0.905,0.752
sarcastic-headlines,gte-base,Contrastive(gte-base)(lambda=0.1),0.1,contrastive,50000,0.824,0.901,0.746
sarcastic-headlines,gte-base,Triplet(gte-base)(lambda=10),10.0,triplet,50000,0.815,0.886,0.744
sarcastic-headlines,gte-base,Triplet(gte-base)(lambda=7.5),7.5,triplet,50000,0.816,0.887,0.745
sarcastic-headlines,gte-base,Triplet(gte-base)(lambda=5),5.0,triplet,50000,0.816,0.887,0.745
sarcastic-headlines,gte-base,Triplet(gte-base)(lambda=1),1.0,triplet,50000,0.833,0.9,0.766
sarcastic-headlines,gte-base,Triplet(gte-base)(lambda=0.1),0.1,triplet,50000,0.841,0.907,0.774
sarcastic-headlines,gte-base,Triplet(gte-base)(lambda=0.01),0.01,triplet,50000,0.826,0.887,0.766
